date,BRL,CLP,COP,MXN
2012-10-22,-0.7525436433561618,-1.1800448084534971,-0.9994516757273604,-0.8081204385595936
2012-10-23,-0.7489044871040774,-1.125184067507482,-0.9910989931354703,-0.7684609474274656
2012-10-24,-0.7504641254978278,-1.1476270978944885,-0.9656316825156546,-0.7614415684660272
2012-10-25,-0.751243944694703,-1.165082788195493,-0.9644224968397683,-0.7535447671344084
2012-10-26,-0.7478647281749105,-1.1600954481094918,-0.9649433768232268,-0.7610555026231477
2012-10-29,-0.7426659335290752,-1.1356574816880847,-0.9533910029043767,-0.7330130836722011
2012-10-30,-0.7439656321905338,-1.1588486130879914,-0.9398667261910046,-0.7329779867773933
2012-10-31,-0.7411062951353241,-1.151367602958989,-0.9409084861579218,-0.7256076388678832
2012-11-01,-0.7438356623243877,-1.151367602958989,-0.9383784976668372,-0.756738584561863
2012-11-02,-0.7444855116551173,-1.151367602958989,-0.9490751401842911,-0.7454373844339471
2012-11-05,-0.7383769279462606,-1.1493726669245887,-0.9429361975221002,-0.7446301558533817
2012-11-06,-0.742535963662929,-1.1688232932599942,-0.9429361975221002,-0.7729182530679793
2012-11-07,-0.7407163855368868,-1.1600954481094918,-0.9686267424205415,-0.7344871532541029
2012-11-08,-0.7316184949066749,-1.178797973431997,-0.9689243881253751,-0.6968632820207917
2012-11-09,-0.7240802426702133,-1.1675764582384935,-0.9700777652316047,-0.6893174496372454
2012-11-12,-0.7183615685597945,-1.1551081080234902,-0.9649061711101227,-0.684544271943467
2012-11-13,-0.7087437984649997,-1.1132144513010782,-0.9649061711101227,-0.6731728780259368
2012-11-14,-0.6973064502441615,-1.0990005320559746,-0.9606089112465892,-0.6615558058447556
2012-11-15,-0.6982162393071829,-1.1057334411720767,-0.9626552254673193,-0.6864746011578632
2012-11-16,-0.6982162393071829,-1.1057334411720767,-0.9544513657278463,-0.6861938259994056
2012-11-19,-0.6841794937634273,-1.170070128281494,-0.9528701229209181,-0.7398569781596033
2012-11-20,-0.6796305484483216,-1.1805435424620974,-0.9636411768645802,-0.757931878985308
2012-11-21,-0.6559760328097707,-1.1825384784964976,-0.9675291738839681,-0.73852329615693
2012-11-22,-0.6481778408410179,-1.1912663236470005,-0.9671943224660302,-0.7472975198587284
2012-11-23,-0.677940940188425,-1.1817903774835974,-0.9671943224660302,-0.7716196679601132
2012-11-26,-0.6762513319285285,-1.1418916567955864,-0.9589718598700048,-0.7524216665005784
2012-11-27,-0.6776810004561333,-1.150120767937489,-0.9516423343884802,-0.7454373844339471
2012-11-28,-0.6636442549123778,-1.1538612730019902,-0.9527213000685015,-0.7691979822184168
2012-11-29,-0.657925580801959,-1.1630878521610921,-0.9498564601594791,-0.7780073028150223
2012-11-30,-0.657925580801959,-1.1630878521610921,-0.9631575025942258,-0.7787092407111658
2012-12-03,-0.6246532950686131,-1.1276777375504827,-0.9709893052026572,-0.7602833709373901
2012-12-04,-0.6280325115884063,-1.1576017780664907,-0.9709707023461052,-0.7776914307617577
2012-12-05,-0.6696228687550889,-1.1725637983244954,-0.9712683480509389,-0.784675712828389
2012-12-06,-0.6826198553696768,-1.1937599936900012,-0.9759562679020664,-0.8049968149217538
2012-12-07,-0.6861290417556156,-1.1999941687975029,-0.9896479703244071,-0.811244062197434
2012-12-10,-0.6828797951019686,-1.214956189055507,-1.0012561528129136,-0.8263708238593344
2012-12-11,-0.6810602169759264,-1.214956189055507,-0.9976285957852552,-0.8518511694893564
2012-12-12,-0.6904180473384302,-1.2324118793565115,-0.9937219959093156,-0.8498857433801531
2012-12-13,-0.6727421455425897,-1.2249308692275098,-1.0033768784598525,-0.8285468313373803
2012-12-14,-0.6717023866134227,-1.2461270645930156,-1.0057208383854161,-0.8483765769034443
2012-12-17,-0.6551962136128955,-1.219943529141508,-0.9995446900101213,-0.8571508006052426
2012-12-18,-0.6672834111644627,-1.2249308692275098,-1.002130487070862,-0.8585195795027231
2012-12-19,-0.6908079569368675,-1.2174498590985074,-1.0074136983316564,-0.8412168103627767
2012-12-20,-0.6930174446613475,-1.2224371991845093,-1.014259549542827,-0.8432173333667871
2012-12-21,-0.6813201567082182,-1.178797973431997,-1.01721740373461,-0.7848161004076175
2012-12-24,-0.6824898855035313,-1.1669530407277433,-1.034108797483911,-0.7634069945752298
2012-12-25,-0.6706626276842558,-1.1669530407277433,-1.0459216113944902,-0.7620382156777493
2012-12-26,-0.7205710562842745,-1.1775511384104964,-1.0459216113944902,-0.7540361236617092
2012-12-27,-0.7275894290561526,-1.1613422831309919,-1.0495491684221485,-0.7668815871611419
2012-12-28,-0.7223906344103173,-1.1663296232169937,-1.049456154139388,-0.7505966279706043
2012-12-31,-0.7213508754811497,-1.1663296232169937,-1.0556136996581311,-0.8100156708791819
